id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link    ,wikipedia_link,keywords,score,last_updated,landing
5475,OP24,small_airport,Mandi Bahauddin Air Base,32.60139847,73.50839996,750,AS,PK,PK-PB,Mandi Bahauddin,0,OP14,OHT,OP14,321,https://en.wikipedia.org/wiki/Chilas_Airport,OP24,50,2009-04-11T09:31:08+00:00,no
41631,PK-HRA,small_airport,Mansehra Airport,34.33332062,73.20020294,3530,AS,PK,PK-NW,Mansehra,0,OP15,HRA,OP15,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:52+00:00,no
5460,OP11,small_airport,Mir Baz Airport,31.18779945,70.18450165,2350,AS,PK,PK-BA,Mir Baz,0,OP11,HRA,OP11,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:56+00:00,no
32123,OPMN,small_airport,Miram Shah Airport,33.01470184,70.06439972,3022,AS,PK,PK-TA,Miram Shah,0,OPMN,HRA,OP12,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:03+00:00,yes
41621,OPMK,small_airport,Mirpur Khas Air Base,25.682501,69.0728,180,AS,PK,PK-SD,Mirpur Khas,0,OPMK,HRA,OP13,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2018-04-26T12:43:10+00:00,yes
5483,OP34,small_airport,Nok Kundi Airport,28.81940079,62.73070145,2227,AS,PK,PK-BA,Nok Kundi,0,OP34,HRA,OP34,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:13+00:00,yes
41613,OPCT,small_airport,Chirat Airport,33.9681015,71.96749878,1192,AS,PK,PK-NW,Nowshera,0,OPCT,HRA,OP35,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:32+00:00,yes
5266,OPNK,small_airport,Nushki Airport,29.53899956,66.02330017,3200,AS,PK,PK-BA,Nushki,0,OPNK,NHS,OP36,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:13+00:00,yes
5267,OPOK,small_airport,Okara Cantonment Airstrip,30.74099922,73.35769653,568,AS,PK,PK-PB,Okara,0,OPOK,NHS,OP37,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2012-01-04T10:57:54+00:00,no
5486,OP37,small_airport,Pano Aqil Southeast Airport,27.81310081,69.167099,200,AS,PK,PK-SD,Pano Aqil,0,OP37,NHS,OP37,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:19+00:00,no
41622,OPPN,small_airport,Pishin Airport,30.55620003,66.98549652,5075,AS,PK,PK-BA,Pishin,0,OPPN,NHS,OP38,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:22+00:00,no
5271,OPQS,small_airport,Qasim Airport,33.56019974,73.03320313,1581,AS,PK,PK-PB,Qasim,0,OPQS,NHS,OP39,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:22+00:00,no
5275,OPRS,medium_airport,Risalpur Air Base,34.08110046,71.97260284,1050,AS,PK,PK-NW,Risalpur,0,OPRS,NHS,OP40,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2009-02-20T09:51:10+00:00,no
41625,OPSW,small_airport,Sahiwal Airport,31.88944435,72.39167023,570,AS,PK,PK-PB,Sahiwal,0,OPSW,SWN,OP41,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:38+00:00,yes
41633,PK-RZS,small_airport,Sawan Airport,26.9662,68.878098,160,AS,PK,PK-SD,Sawan,1,OPSW,RZS,OP42,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2016-07-07T06:16:29+00:00,yes
41623,OPSP,small_airport,Shekhupura Airport,31.70849991,74.0102005,680,AS,PK,PK-PB,Shekhupura,0,OPSP,RZS,OP43,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:32+00:00,yes
41634,PK-SWV,closed,Shikarpur Airport,29.166667,70.433333,219,AS,PK,PK-SD,Shikarpur,0,OPSP,SWV,OP44,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2012-10-22T21:42:58+00:00,yes
32251,OPSB,small_airport,Sibi Airport,29.57119942,67.84790039,436,AS,PK,PK-BA,Sibi,0,OPSB,SBQ,OP45,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:27+00:00,yes
31936,OPMP,small_airport,Sindhri Tharparkar Airport,25.68280029,69.07279968,51,AS,PK,PK-SD,Sindhri,0,OPMP,MPD,OP46,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:05+00:00,yes
41626,OPTT,small_airport,Taftan Airport,28.96419907,61.59540176,2742,AS,PK,PK-BA,Taftan,0,OPTT,TFT,OP47,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:41+00:00,yes
32458,OPTA,small_airport,Tarbela Dam Airport,33.98609924,72.61139679,1114,AS,PK,PK-NW,Tarbela,0,OPTA,TLB,OP48,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T12:15:23+00:00,yes
5474,OP23,small_airport,Thal Airport,33.38759995,70.58879852,2650,AS,PK,PK-NW,Thal,0,OP23,TLB,OP23,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:03+00:00,yes
5284,OPWN,small_airport,Wana Airport,32.30469894,69.57039642,4550,AS,PK,PK-TA,Waana,0,OPWN,WAF,OP24,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:45+00:00,yes
41645,PK-0012,small_airport,Wateji Airstrip,24.8658,67.4096,149,AS,PK,PK-SD,Wateji,0,OPWN,WAF,OP25,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2016-05-15T17:52:23+00:00,yes
317901,PK-0016,small_airport,Petaro Airport,25.5448,68.3265,113,AS,PK,PK-SD,Cadet College Petaro,0,OPWN,WAF,OP26,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2016-05-15T16:46:15+00:00,yes
41636,PK-0003,heliport,Dalbandin Heliport,28.87479973,64.40429688,2776,AS,PK,PK-BA,Dalbandin,0,OPWN,WAF,OP27,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2008-09-01T20:49:24+00:00,yes
41637,PK-0004,heliport,Gilgit Heliport,35.9178009,74.34329987,4864,AS,PK,PK-NA,Gilgit,0,OPWN,WAF,OP28,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2008-09-24T09:08:59+00:00,yes
41638,PK-0005,heliport,Gurha Salim Heliport,32.88130188,73.60140228,769,AS,PK,PK-PB,Gurha Salim,0,OPWN,WAF,OP29,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2008-09-01T20:49:26+00:00,yes
317902,PK-0017,small_airport,Jungshahi Airstrip,24.8366,67.7619,45,AS,PK,PK-SD,Jungshahi,0,OPWN,WAF,OP30,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2016-05-15T17:30:13+00:00,no
41640,PK-0007,heliport,Korangi Creek Heliport,24.78219986,67.13639832,3,AS,PK,PK-SD,Karachi,0,OPWN,WAF,OP31,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2008-09-01T20:49:28+00:00,no
317903,PK-0018,closed,Chota Malir Airstrips,24.95,67.173,165,AS,PK,PK-SD,Karachi,0,OPWN,WAF,OP32,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2016-05-15T18:26:12+00:00,no
317904,PK-0019,closed,PAF Base Malir,24.97,67.228,205,AS,PK,PK-SD,Karachi,0,OPWN,WAF,OP33,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2016-05-15T18:35:35+00:00,no
299580,PK-0014,small_airport,Khanpur Airport,28.64333333,70.6325,283,AS,PK,PK-PB,Khanpur,0,OPWN,WAF,OP34,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2011-10-09T16:10:54+00:00,no
317899,PK-0015,small_airport,Larkana Airport,27.4831,68.1926,167,AS,PK,PK-SD,Larkana,0,OPWN,WAF,OP35,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2016-05-15T15:25:26+00:00,no
325954,PK-0025,closed,Notakzai Airport,29.653524,66.383008,5102,AS,PK,PK-BA,Notakzai,0,OPWN,WAF,OP36,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2017-12-25T08:34:00+00:00,no
41643,PK-0010,heliport,Nushki Heliport,29.54019928,66.02449799,3271,AS,PK,PK-BA,Nushki,0,OPWN,WAF,OP37,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2008-09-01T20:49:30+00:00,no
325955,PK-0026,closed,Khai Airport,28.273904,70.077635,258,AS,PK,PK-PB,Sadiqabad,0,OPWN,WAF,OP38,321,https://en.wikipedia.org/wiki/Chilas_Airport,,0,2017-12-25T10:42:14+00:00,yes
